delta,alpha2_gate,comparator,fwer_alpha2,fwer_bonferroni,fwer_difference,recall_alpha2,recall_bonferroni,recall_difference,precision_alpha2,precision_bonferroni,precision_difference,mean_true_discoveries_alpha2,mean_true_discoveries_bonferroni,mean_true_discoveries_difference,restricted_first_delay_alpha2,restricted_first_delay_bonferroni,restricted_first_delay_difference
0.0,alpha2_fixed,fixed_bonferroni,0.019,0.043,-0.023999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,0.0
0.0,alpha2_adaptive,fixed_bonferroni,0.02,0.043,-0.022999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,600.0,0.0
0.1,alpha2_fixed,fixed_bonferroni,0.01,0.026,-0.016,4.1481213137846265e-05,0.0014558259701001,-0.0014143447569622538,0.028,0.5088333333333334,-0.48083333333333333,0.028,1.11,-1.082,589.158,600.0,-10.841999999999985
0.1,alpha2_adaptive,fixed_bonferroni,0.01,0.026,-0.016,5.833409288258551e-05,0.0014558259701001,-0.0013974918772175146,0.031,0.5088333333333334,-0.47783333333333333,0.038,1.11,-1.072,587.9,600.0,-12.100000000000023
0.2,alpha2_fixed,fixed_bonferroni,0.01,0.034,-0.024,0.0005776261265573,0.0319198500322658,-0.031342223905708504,0.2923333333333333,0.9979653558127434,-0.7056320224794101,0.48,26.366,-25.886,539.828,600.0,-60.172000000000025
0.2,alpha2_adaptive,fixed_bonferroni,0.016,0.034,-0.018000000000000002,0.0004808885633449,0.0319198500322658,-0.031438961468920903,0.2598333333333333,0.9979653558127434,-0.7381320224794101,0.398,26.366,-25.968,535.402,600.0,-64.59799999999996
0.35,alpha2_fixed,fixed_bonferroni,0.048,0.256,-0.20800000000000002,0.0323889339300403,0.2476098903221909,-0.2152209563921506,0.9924367117717596,0.9975772732086544,-0.005140561436894786,27.418,208.346,-180.928,221.802,600.0,-378.198
0.35,alpha2_adaptive,fixed_bonferroni,0.072,0.256,-0.184,0.0085074308724557,0.2476098903221909,-0.2391024594497352,0.9571755833055832,0.9975772732086544,-0.04040168990307125,7.184,208.346,-201.162,264.668,600.0,-335.332
0.5,alpha2_fixed,fixed_bonferroni,0.118,0.63,-0.512,0.1733264681863806,0.4638096994460309,-0.2904832312596503,0.9987092052246288,0.9957072459891536,0.0030019592354751934,146.304,388.456,-242.15200000000002,117.346,600.0,-482.654
0.5,alpha2_adaptive,fixed_bonferroni,0.162,0.63,-0.46799999999999997,0.0351220696465459,0.4638096994460309,-0.428687629799485,0.9912187251928212,0.9957072459891536,-0.00448852079633244,29.63,388.456,-358.826,139.154,600.0,-460.846
