gate,delta,repetitions,fwer,fwer_ci_low,fwer_ci_high,fdr,mean_false_discoveries,per_candidate_false_rate,recall,precision,mean_true_discoveries,median_delay_conditional,restricted_first_delay
alpha2_adaptive,0.0,1000,0.02,0.0129836829164151,0.0306900052297177,0.02,0.021,2.1e-05,0.0,0.0,0.0,,600.0
alpha2_fixed,0.0,1000,0.019,0.0121968857507909,0.0294844559123131,0.019,0.019,1.9e-05,0.0,0.0,0.0,,600.0
fixed_bonferroni,0.0,1000,0.043,0.0320786534117133,0.057419003844084,0.043,0.046,4.6e-05,0.0,0.0,0.0,,600.0
alpha2_adaptive,0.1,500,0.01,0.0042787538965904,0.0231930997557307,0.009,0.012,1.2e-05,5.833409288258551e-05,0.031,0.038,252.75,587.9
alpha2_fixed,0.1,500,0.01,0.0042787538965904,0.0231930997557307,0.01,0.012,1.2e-05,4.1481213137846265e-05,0.028,0.028,155.0,589.158
fixed_bonferroni,0.1,500,0.026,0.0152563839233272,0.0439714908342242,0.0151666666666666,0.026,2.6e-05,0.0014558259701001,0.5088333333333334,1.11,600.0,600.0
alpha2_adaptive,0.2,500,0.016,0.0081292530333883,0.0312511085333942,0.0101666666666666,0.016,1.6e-05,0.0004808885633449,0.2598333333333333,0.398,393.25,535.402
alpha2_fixed,0.2,500,0.01,0.0042787538965904,0.0231930997557307,0.0076666666666666,0.01,1e-05,0.0005776261265573,0.2923333333333333,0.48,456.0,539.828
fixed_bonferroni,0.2,500,0.034,0.0213345198085321,0.0537713655016345,0.0020346441872565,0.04,4e-05,0.0319198500322658,0.9979653558127434,26.366,600.0,600.0
alpha2_adaptive,0.35,500,0.072,0.0524580314181262,0.0980684040169625,0.0148244166944166,0.082,8.2e-05,0.0085074308724557,0.9571755833055832,7.184,447.75,264.668
alpha2_fixed,0.35,500,0.048,0.0324652069413531,0.07042719683589,0.0035632882282401,0.05,5e-05,0.0323889339300403,0.9924367117717596,27.418,482.25,221.802
fixed_bonferroni,0.35,500,0.256,0.2197077081917188,0.2960129699535187,0.0024227267913454,0.336,0.000336,0.2476098903221909,0.9975772732086544,208.346,600.0,600.0
alpha2_adaptive,0.5,500,0.162,0.1323017883898392,0.19685226576217,0.0087812748071789,0.198,0.000198,0.0351220696465459,0.9912187251928212,29.63,421.0,139.154
alpha2_fixed,0.5,500,0.118,0.0925930082515064,0.1492319878611194,0.001290794775371,0.132,0.000132,0.1733264681863806,0.9987092052246288,146.304,440.0,117.346
fixed_bonferroni,0.5,500,0.63,0.5868399352542358,0.6711777362257606,0.0042927540108465,1.192,0.001192,0.4638096994460309,0.9957072459891536,388.456,600.0,600.0
