gate,delta,metric,paired_runs,full_mean,no_feedback_mean,paired_effect_full_minus_no_feedback,ci95_low,ci95_high
alpha2_fixed,0.1,recall,300,4.1101984714065664e-05,6.717207234179733e-05,-2.6070087627731666e-05,-4.4861592110016084e-05,-7.278583145447248e-06
alpha2_fixed,0.1,true_discoveries,300,0.03,0.03333333333333333,-0.0033333333333333335,-0.009893098896884538,0.0032264322302178717
alpha2_fixed,0.1,precision,300,0.028333333333333332,0.03166666666666667,-0.0033333333333333335,-0.009893098896884538,0.0032264322302178717
alpha2_fixed,0.1,false_discoveries,300,0.02,0.02,0.0,0.0,0.0
alpha2_fixed,0.1,restricted_first_delay,300,589.9266666666666,589.5333333333333,0.3933333333333333,-0.38071900316570884,1.1673856698323755
alpha2_fixed,0.2,recall,300,0.000577405317850234,0.0004075105240477033,0.00016989479380253068,5.796593044571217e-05,0.0002818236571593492
alpha2_fixed,0.2,true_discoveries,300,0.47333333333333333,0.20333333333333334,0.27,0.18607714112648469,0.3539228588735154
alpha2_fixed,0.2,precision,300,0.325,0.16833333333333333,0.15666666666666668,0.11131596257804005,0.2020173707552933
alpha2_fixed,0.2,false_discoveries,300,0.01,0.01,0.0,0.0,0.0
alpha2_fixed,0.2,restricted_first_delay,300,531.8166666666667,558.16,-26.343333333333334,-35.07517700062985,-17.61148966603682
alpha2_fixed,0.35,recall,300,0.031003199988811285,0.007768423362914184,0.023234776625897104,0.0216019326346612,0.024867620617133008
alpha2_fixed,0.35,true_discoveries,300,26.176666666666666,3.8766666666666665,22.3,20.842083401338577,23.757916598661424
alpha2_fixed,0.35,precision,300,0.997585304207153,0.9635793650793653,0.03400593912778787,0.013979220325963413,0.05403265792961233
alpha2_fixed,0.35,false_discoveries,300,0.02666666666666667,0.03333333333333333,-0.006666666666666667,-0.019786197793769077,0.006452864460435743
alpha2_fixed,0.35,restricted_first_delay,300,233.37,334.1533333333333,-100.78333333333333,-113.99759231852784,-87.56907434813883
alpha2_fixed,0.5,recall,300,0.16950993775645562,0.04023164241513638,0.1292782953413192,0.12255610116348511,0.1360004895191533
alpha2_fixed,0.5,true_discoveries,300,142.30333333333334,20.083333333333332,122.22,116.02280746142799,128.417192538572
alpha2_fixed,0.5,precision,300,0.9982084431146395,0.989527447136367,0.008680995978272606,0.006012312856545422,0.01134967909999979
alpha2_fixed,0.5,false_discoveries,300,0.18,0.22,-0.04,-0.08024804284670023,0.0002480428467002277
alpha2_fixed,0.5,restricted_first_delay,300,120.06,163.97,-43.91,-50.26300029628875,-37.55699970371124
