replicate,delta,scheme,score_mode,discoveries,false_discoveries,true_discoveries,any_false,recall,precision,early_recall,middle_recall,late_recall,planted_component_coverage,restricted_first_true_birth,restricted_first_true_evidence_delay,restricted_first_true_end_to_end_delay,budget_spent,budget_first_10pct,max_candidate_allocation,stream_seed
0,0.0,current_adaptive,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.05,0.049871286676564965,0.0027500000000000007,2026080301
0,0.0,current_adaptive,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.049999999999999996,0.04976608310558468,0.0027500000000000007,2026080301
0,0.0,current_adaptive,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.05,0.04982535713180626,0.0027500000000000007,2026080301
0,0.0,epoch_reserve,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.045434126420454544,0.04337332589285714,0.025,2026080301
0,0.0,explore_exploit,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.041228746820902266,0.03218964064459889,0.0009226756160713564,2026080301
0,0.0,explore_exploit,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04122874682090226,0.03218964064459888,0.0009226756160713564,2026080301
0,0.0,explore_exploit,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.041228746820902266,0.03218964064459887,0.0009226756160713564,2026080301
0,0.0,fixed_j2,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04996961883801879,0.049697551200869765,0.03039635509270134,2026080301
0,0.0,heavy_tail_fixed,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.044984284153811734,0.042506472918402635,0.01845351232142713,2026080301
0,0.0,wallet_lineage,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.0423554080207751,0.035284690326740004,0.006181926627678087,2026080301
0,0.0,wallet_lineage,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.042355408020775115,0.03528469032674001,0.006181926627678087,2026080301
0,0.0,wallet_lineage,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04235540802077511,0.035284690326740004,0.006181926627678087,2026080301
1,0.0,current_adaptive,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.05,0.04996429215838594,0.0027500000000000007,2026081310
1,0.0,current_adaptive,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.049999999999999954,0.04920886528144286,0.0027500000000000007,2026081310
1,0.0,current_adaptive,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.05,0.04982535713180626,0.0027500000000000007,2026081310
1,0.0,epoch_reserve,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.045434126420454544,0.04337332589285714,0.025,2026081310
1,0.0,explore_exploit,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.041228746820902266,0.03218964064459888,0.0009226756160713564,2026081310
1,0.0,explore_exploit,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04122874682090227,0.0321896406445989,0.0009226756160713564,2026081310
1,0.0,explore_exploit,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.041228746820902266,0.03218964064459887,0.0009226756160713564,2026081310
1,0.0,fixed_j2,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04996961883801879,0.049697551200869765,0.03039635509270134,2026081310
1,0.0,heavy_tail_fixed,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.044984284153811734,0.042506472918402635,0.01845351232142713,2026081310
1,0.0,wallet_lineage,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.042355408020775115,0.03528469032674001,0.006181926627678087,2026081310
1,0.0,wallet_lineage,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.0423554080207751,0.03528469032674001,0.006181926627678087,2026081310
1,0.0,wallet_lineage,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.042355408020775115,0.03528469032674002,0.006181926627678087,2026081310
2,0.0,current_adaptive,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.05000000000000001,0.049903073828263866,0.0027500000000000007,2026082319
2,0.0,current_adaptive,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.049999999999999746,0.04969265203281335,0.0027500000000000007,2026082319
2,0.0,current_adaptive,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.05,0.04982535713180626,0.0027500000000000007,2026082319
2,0.0,epoch_reserve,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.045434126420454544,0.04337332589285714,0.025,2026082319
2,0.0,explore_exploit,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.041228746820902266,0.03218964064459889,0.0009226756160713564,2026082319
2,0.0,explore_exploit,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04122874682090227,0.03218964064459889,0.0009226756160713564,2026082319
2,0.0,explore_exploit,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.041228746820902266,0.03218964064459887,0.0009226756160713564,2026082319
2,0.0,fixed_j2,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04996961883801879,0.049697551200869765,0.03039635509270134,2026082319
2,0.0,heavy_tail_fixed,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.044984284153811734,0.042506472918402635,0.01845351232142713,2026082319
2,0.0,wallet_lineage,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04235540802077511,0.035284690326740004,0.006181926627678087,2026082319
2,0.0,wallet_lineage,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.042355408020775115,0.035284690326740004,0.006181926627678087,2026082319
2,0.0,wallet_lineage,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.0423554080207751,0.035284690326740004,0.006181926627678087,2026082319
3,0.0,current_adaptive,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.049999999999999996,0.04989440901402358,0.0027500000000000007,2026083328
3,0.0,current_adaptive,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.049999999999990115,0.049717462104393595,0.0027500000000000007,2026083328
3,0.0,current_adaptive,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.05,0.04982535713180626,0.0027500000000000007,2026083328
3,0.0,epoch_reserve,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.045434126420454544,0.04337332589285714,0.025,2026083328
3,0.0,explore_exploit,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.041228746820902266,0.03218964064459889,0.0009226756160713564,2026083328
3,0.0,explore_exploit,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04122874682090227,0.03218964064459889,0.0009226756160713564,2026083328
3,0.0,explore_exploit,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.041228746820902266,0.03218964064459887,0.0009226756160713564,2026083328
3,0.0,fixed_j2,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04996961883801879,0.049697551200869765,0.03039635509270134,2026083328
3,0.0,heavy_tail_fixed,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.044984284153811734,0.042506472918402635,0.01845351232142713,2026083328
3,0.0,wallet_lineage,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04235540802077511,0.035284690326740004,0.006181926627678087,2026083328
3,0.0,wallet_lineage,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04235540802077511,0.035284690326740004,0.006181926627678087,2026083328
3,0.0,wallet_lineage,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04235540802077511,0.035284690326740004,0.006181926627678087,2026083328
4,0.0,current_adaptive,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.05,0.049936060656292316,0.0027500000000000007,2026084337
4,0.0,current_adaptive,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.049999999999687905,0.04954172755138521,0.0027500000000000007,2026084337
4,0.0,current_adaptive,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.05,0.04982535713180626,0.0027500000000000007,2026084337
4,0.0,epoch_reserve,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.045434126420454544,0.04337332589285714,0.025,2026084337
4,0.0,explore_exploit,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04122874682090227,0.03218964064459888,0.0009226756160713564,2026084337
4,0.0,explore_exploit,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04122874682090227,0.03218964064459888,0.0009226756160713564,2026084337
4,0.0,explore_exploit,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.041228746820902266,0.03218964064459887,0.0009226756160713564,2026084337
4,0.0,fixed_j2,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04996961883801879,0.049697551200869765,0.03039635509270134,2026084337
4,0.0,heavy_tail_fixed,not_applicable,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.044984284153811734,0.042506472918402635,0.01845351232142713,2026084337
4,0.0,wallet_lineage,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04235540802077511,0.03528469032674001,0.006181926627678087,2026084337
4,0.0,wallet_lineage,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04235540802077511,0.03528469032674001,0.006181926627678087,2026084337
4,0.0,wallet_lineage,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04235540802077511,0.03528469032674001,0.006181926627678087,2026084337
5,0.0,current_adaptive,informed,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.05000000000000001,0.049932040322805786,0.0027500000000000007,2026085346
5,0.0,current_adaptive,inverted,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.04999999999999991,0.049571140775506214,0.0027500000000000007,2026085346
5,0.0,current_adaptive,uninformative,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1001,600,30000,0.05,0.04982535713180626,0.0027500000000000007,2026085346
